name,class,confidence,box,path
M,1,0.92059,"{'x1': 83.11951, 'y1': 0.0, 'x2': 713.00977, 'y2': 604.0415}",E:\00learning\00test\验证图片\1224_20250517_004531.jpg
M,1,0.92644,"{'x1': 96.66125, 'y1': 0.0, 'x2': 733.55823, 'y2': 600.50739}",E:\00learning\00test\验证图片\1230_20250517_115746.jpg
M,1,0.90958,"{'x1': 83.09973, 'y1': 0.0, 'x2': 702.30762, 'y2': 600.38159}",E:\00learning\00test\验证图片\1233_20250516_222727.jpg
M,1,0.93685,"{'x1': 99.0274, 'y1': 0.0, 'x2': 725.2868, 'y2': 605.36829}",E:\00learning\00test\验证图片\1237_20250516_182649.jpg
M,1,0.91983,"{'x1': 107.89374, 'y1': 0.0, 'x2': 711.78912, 'y2': 594.81891}",E:\00learning\00test\验证图片\1243_20250517_074647.jpg
C,0,0.91306,"{'x1': 53.29419, 'y1': 0.0, 'x2': 675.69958, 'y2': 581.67572}",E:\00learning\00test\验证图片\1244_20250517_062552.jpg
M,1,0.93258,"{'x1': 99.20068, 'y1': 0.0, 'x2': 713.4021, 'y2': 601.88721}",E:\00learning\00test\验证图片\1256_20250516_170309.jpg
M,1,0.93138,"{'x1': 94.18964, 'y1': 0.0, 'x2': 710.50323, 'y2': 592.91364}",E:\00learning\00test\验证图片\1269_20250516_161555.jpg
M,1,0.9149,"{'x1': 95.31677, 'y1': 0.0, 'x2': 700.18225, 'y2': 595.07617}",E:\00learning\00test\验证图片\1269_20250517_123914.jpg
M,1,0.91439,"{'x1': 105.12518, 'y1': 0.0, 'x2': 705.78693, 'y2': 599.03613}",E:\00learning\00test\验证图片\1279_20250517_085655.jpg
M,1,0.93595,"{'x1': 97.6875, 'y1': 0.0, 'x2': 716.80396, 'y2': 603.76331}",E:\00learning\00test\验证图片\1287_20250517_121555.jpg
M,1,0.84631,"{'x1': 112.02594, 'y1': 0.0, 'x2': 706.0199, 'y2': 600.46356}",E:\00learning\00test\验证图片\1291_20250517_110811.jpg
M,1,0.92103,"{'x1': 107.40765, 'y1': 0.0, 'x2': 696.61224, 'y2': 603.2326}",E:\00learning\00test\验证图片\1316_20250517_171332.jpg
M,1,0.92259,"{'x1': 85.4198, 'y1': 0.0, 'x2': 698.48767, 'y2': 599.11456}",E:\00learning\00test\验证图片\1322_20250517_002347.jpg
M,1,0.894,"{'x1': 98.32764, 'y1': 0.0, 'x2': 691.76123, 'y2': 592.88586}",E:\00learning\00test\验证图片\1324_20250517_034437.jpg
M,1,0.72805,"{'x1': 123.22479, 'y1': 0.0, 'x2': 692.75232, 'y2': 598.55731}",E:\00learning\00test\验证图片\1329_20250517_085753.jpg
M,1,0.889,"{'x1': 82.54504, 'y1': 0.0, 'x2': 676.9198, 'y2': 583.35156}",E:\00learning\00test\验证图片\1330_20250517_113307.jpg
M,1,0.92905,"{'x1': 96.57495, 'y1': 0.0, 'x2': 699.85864, 'y2': 585.94348}",E:\00learning\00test\验证图片\1331_20250517_010810.jpg
M,1,0.93075,"{'x1': 101.68286, 'y1': 0.0, 'x2': 708.49036, 'y2': 599.25903}",E:\00learning\00test\验证图片\1331_20250517_193416.jpg
S,2,0.89732,"{'x1': 92.37213, 'y1': 0.0, 'x2': 710.93555, 'y2': 605.54889}",E:\00learning\00test\验证图片\1333_20250517_103126.jpg
M,1,0.9177,"{'x1': 95.77094, 'y1': 0.0, 'x2': 706.3858, 'y2': 601.39819}",E:\00learning\00test\验证图片\1334_20250516_210142.jpg
M,1,0.91583,"{'x1': 89.79669, 'y1': 0.0, 'x2': 701.63483, 'y2': 597.75629}",E:\00learning\00test\验证图片\1338_20250516_223509.jpg
M,1,0.92824,"{'x1': 93.85748, 'y1': 0.0, 'x2': 703.21301, 'y2': 591.51062}",E:\00learning\00test\验证图片\1345_20250516_233410.jpg
M,1,0.93352,"{'x1': 115.6684, 'y1': 0.0, 'x2': 716.23645, 'y2': 600.66699}",E:\00learning\00test\验证图片\1349_20250517_154622.jpg
M,1,0.91377,"{'x1': 85.38538, 'y1': 0.0, 'x2': 702.84277, 'y2': 599.33264}",E:\00learning\00test\验证图片\1350_20250517_083545.jpg
M,1,0.82965,"{'x1': 114.6853, 'y1': 0.0, 'x2': 699.0293, 'y2': 603.28314}",E:\00learning\00test\验证图片\1351_20250517_063510.jpg
M,1,0.91995,"{'x1': 103.00232, 'y1': 0.0, 'x2': 730.40955, 'y2': 605.33008}",E:\00learning\00test\验证图片\1354_20250517_144105.jpg
M,1,0.92284,"{'x1': 103.13818, 'y1': 0.0, 'x2': 708.58081, 'y2': 601.92334}",E:\00learning\00test\验证图片\1360_20250516_165058.jpg
M,1,0.91742,"{'x1': 90.53656, 'y1': 0.0, 'x2': 694.92969, 'y2': 599.24646}",E:\00learning\00test\验证图片\1371_20250517_120201.jpg
M,1,0.86993,"{'x1': 96.39459, 'y1': 0.0, 'x2': 701.66577, 'y2': 592.2702}",E:\00learning\00test\验证图片\1372_20250516_213243.jpg
M,1,0.91787,"{'x1': 113.44031, 'y1': 0.0, 'x2': 700.44495, 'y2': 588.99268}",E:\00learning\00test\验证图片\1372_20250517_075814.jpg
M,1,0.92148,"{'x1': 98.78955, 'y1': 0.0, 'x2': 700.35156, 'y2': 594.24951}",E:\00learning\00test\验证图片\1372_20250517_233342.jpg
C,0,0.942,"{'x1': 107.99048, 'y1': 0.0, 'x2': 710.19836, 'y2': 598.66467}",E:\00learning\00test\验证图片\1376_20250516_213815.jpg
C,0,0.88771,"{'x1': 60.87195, 'y1': 0.0, 'x2': 664.42297, 'y2': 583.867}",E:\00learning\00test\验证图片\1379_20250517_153412.jpg
M,1,0.92123,"{'x1': 110.71301, 'y1': 0.0, 'x2': 720.65527, 'y2': 599.78381}",E:\00learning\00test\验证图片\1387_20250517_131709.jpg
C,0,0.92638,"{'x1': 131.84613, 'y1': 2.39465, 'x2': 719.27979, 'y2': 595.15564}",E:\00learning\00test\验证图片\1388_20250517_070431.jpg
C,0,0.67646,"{'x1': 126.20929, 'y1': 2.8714, 'x2': 723.40015, 'y2': 593.55823}",E:\00learning\00test\验证图片\1388_20250517_152322.jpg
M,1,0.92183,"{'x1': 88.04126, 'y1': 0.0, 'x2': 734.67566, 'y2': 601.44171}",E:\00learning\00test\验证图片\1408_20250516_225302.jpg
M,1,0.89758,"{'x1': 50.99829, 'y1': 0.0, 'x2': 675.4538, 'y2': 590.1897}",E:\00learning\00test\验证图片\1424_20250516_160820.jpg
M,1,0.93772,"{'x1': 98.17719, 'y1': 0.0, 'x2': 717.34723, 'y2': 607.92334}",E:\00learning\00test\验证图片\1431_20250516_155907.jpg
M,1,0.92473,"{'x1': 93.88257, 'y1': 0.0, 'x2': 704.00525, 'y2': 594.20361}",E:\00learning\00test\验证图片\1433_20250516_194716.jpg
M,1,0.90196,"{'x1': 47.19385, 'y1': 0.0, 'x2': 673.203, 'y2': 592.32764}",E:\00learning\00test\验证图片\1452_20250516_174303.jpg
M,1,0.9272,"{'x1': 99.81531, 'y1': 0.0, 'x2': 711.92523, 'y2': 591.21558}",E:\00learning\00test\验证图片\1482_20250516_162621.jpg
M,1,0.78544,"{'x1': 102.13074, 'y1': 0.0, 'x2': 707.02136, 'y2': 596.5116}",E:\00learning\00test\验证图片\1487_20250516_163442.jpg
C,0,0.92835,"{'x1': 115.70795, 'y1': 0.0, 'x2': 719.53979, 'y2': 595.85083}",E:\00learning\00test\验证图片\1524_20250516_174201.jpg
M,1,0.92349,"{'x1': 93.97461, 'y1': 0.0, 'x2': 697.39807, 'y2': 595.36121}",E:\00learning\00test\验证图片\1584_20250516_203635.jpg
C,0,0.91546,"{'x1': 90.88367, 'y1': 0.0, 'x2': 712.24548, 'y2': 595.35461}",E:\00learning\00test\验证图片\1603_20250516_170859.jpg
M,1,0.92599,"{'x1': 90.16986, 'y1': 0.0, 'x2': 720.1684, 'y2': 601.15369}",E:\00learning\00test\验证图片\1609_20250516_182556.jpg
M,1,0.90269,"{'x1': 72.1615, 'y1': 0.0, 'x2': 705.17859, 'y2': 599.9726}",E:\00learning\00test\验证图片\1622_20250516_233050.jpg
C,0,0.93763,"{'x1': 106.01831, 'y1': 0.0, 'x2': 724.88098, 'y2': 601.10437}",E:\00learning\00test\验证图片\1627_20250516_214227.jpg
C,0,0.9172,"{'x1': 87.552, 'y1': 0.0, 'x2': 703.15601, 'y2': 592.47894}",E:\00learning\00test\验证图片\1629_20250516_162041.jpg
S,2,0.93824,"{'x1': 100.60938, 'y1': 0.0, 'x2': 705.32605, 'y2': 589.46899}",E:\00learning\00test\验证图片\1655_20250516_195253.jpg
M,1,0.92435,"{'x1': 99.36487, 'y1': 0.0, 'x2': 716.61621, 'y2': 598.60901}",E:\00learning\00test\验证图片\1685_20250516_163858.jpg
M,1,0.90443,"{'x1': 64.63965, 'y1': 0.0, 'x2': 679.14026, 'y2': 581.81274}",E:\00learning\00test\验证图片\1703_20250516_221207.jpg
M,1,0.83001,"{'x1': 105.3598, 'y1': 0.0, 'x2': 698.10706, 'y2': 600.06897}",E:\00learning\00test\验证图片\1706_20250516_202356.jpg
M,1,0.8938,"{'x1': 83.59137, 'y1': 0.0, 'x2': 718.91095, 'y2': 599.40247}",E:\00learning\00test\验证图片\1737_20250516_232657.jpg
M,1,0.92929,"{'x1': 95.00281, 'y1': 0.0, 'x2': 714.01233, 'y2': 599.22015}",E:\00learning\00test\验证图片\1751_20250516_163800.jpg
M,1,0.93629,"{'x1': 98.30298, 'y1': 0.0, 'x2': 711.98022, 'y2': 597.6217}",E:\00learning\00test\验证图片\1780_20250516_190041.jpg
M,1,0.92588,"{'x1': 112.17383, 'y1': 0.0, 'x2': 710.54346, 'y2': 600.88849}",E:\00learning\00test\验证图片\1942_20250517_165614.jpg
M,1,0.88455,"{'x1': 63.72888, 'y1': 0.0, 'x2': 677.69037, 'y2': 590.22943}",E:\00learning\00test\验证图片\1948_20250517_085222.jpg
M,1,0.8928,"{'x1': 80.48779, 'y1': 0.0, 'x2': 681.53674, 'y2': 596.42969}",E:\00learning\00test\验证图片\1954_20250517_085126.jpg
M,1,0.71202,"{'x1': 98.49274, 'y1': 0.0, 'x2': 704.39044, 'y2': 583.96515}",E:\00learning\00test\验证图片\1958_20250517_014953.jpg
M,1,0.92109,"{'x1': 107.23401, 'y1': 0.0, 'x2': 724.75018, 'y2': 599.24628}",E:\00learning\00test\验证图片\1971_20250517_061705.jpg
M,1,0.89983,"{'x1': 74.24658, 'y1': 0.0, 'x2': 688.39587, 'y2': 595.48273}",E:\00learning\00test\验证图片\1971_20250517_155252.jpg
M,1,0.79508,"{'x1': 63.05011, 'y1': 0.0, 'x2': 682.08557, 'y2': 588.58313}",E:\00learning\00test\验证图片\1972_20250517_110406.jpg
S,2,0.89015,"{'x1': 53.45367, 'y1': 0.0, 'x2': 691.77374, 'y2': 593.06378}",E:\00learning\00test\验证图片\1976_20250517_220227.jpg
M,1,0.92235,"{'x1': 94.65424, 'y1': 0.0, 'x2': 725.58118, 'y2': 603.41333}",E:\00learning\00test\验证图片\1977_20250517_022535.jpg
M,1,0.91984,"{'x1': 105.17206, 'y1': 0.0, 'x2': 722.04919, 'y2': 599.86487}",E:\00learning\00test\验证图片\1980_20250517_115156.jpg
M,1,0.88816,"{'x1': 83.34003, 'y1': 0.0, 'x2': 705.44788, 'y2': 602.36633}",E:\00learning\00test\验证图片\1981_20250517_035226.jpg
M,1,0.90588,"{'x1': 57.02484, 'y1': 0.0, 'x2': 677.69202, 'y2': 592.52594}",E:\00learning\00test\验证图片\1982_20250517_143840.jpg
M,1,0.91689,"{'x1': 89.60394, 'y1': 0.0, 'x2': 703.88928, 'y2': 596.86926}",E:\00learning\00test\验证图片\1988_20250517_025330.jpg
C,0,0.92422,"{'x1': 53.77637, 'y1': 0.0, 'x2': 666.2533, 'y2': 585.80042}",E:\00learning\00test\验证图片\2014_20250517_191037.jpg
C,0,0.90836,"{'x1': 62.21826, 'y1': 0.0, 'x2': 662.41956, 'y2': 584.58118}",E:\00learning\00test\验证图片\2031_20250517_133154.jpg
M,1,0.9057,"{'x1': 70.08966, 'y1': 0.0, 'x2': 690.62921, 'y2': 587.26239}",E:\00learning\00test\验证图片\2056_20250517_011440.jpg
S,2,0.89386,"{'x1': 44.14362, 'y1': 0.0, 'x2': 665.80469, 'y2': 592.31262}",E:\00learning\00test\验证图片\2057_20250517_230910.jpg
C,0,0.91938,"{'x1': 41.29156, 'y1': 0.0, 'x2': 659.64954, 'y2': 576.8598}",E:\00learning\00test\验证图片\2076_20250517_115323.jpg
M,1,0.88419,"{'x1': 48.95538, 'y1': 0.0, 'x2': 672.6911, 'y2': 581.0918}",E:\00learning\00test\验证图片\2078_20250517_124229.jpg
M,1,0.90614,"{'x1': 49.6637, 'y1': 0.0, 'x2': 667.68848, 'y2': 589.34436}",E:\00learning\00test\验证图片\2099_20250517_064136.jpg
M,1,0.90333,"{'x1': 81.15466, 'y1': 0.0, 'x2': 686.41089, 'y2': 582.36609}",E:\00learning\00test\验证图片\2110_20250517_114910.jpg
M,1,0.92687,"{'x1': 95.2168, 'y1': 0.0, 'x2': 711.71973, 'y2': 592.60571}",E:\00learning\00test\验证图片\2118_20250517_030346.jpg
S,2,0.92034,"{'x1': 80.61768, 'y1': 0.0, 'x2': 681.09161, 'y2': 596.30615}",E:\00learning\00test\验证图片\2120_20250517_172133.jpg
C,0,0.89059,"{'x1': 94.11768, 'y1': 0.0, 'x2': 695.01819, 'y2': 594.78894}",E:\00learning\00test\验证图片\2150_20250517_103337.jpg
S,2,0.91859,"{'x1': 100.79681, 'y1': 0.0, 'x2': 706.92975, 'y2': 595.2547}",E:\00learning\00test\验证图片\2164_20250517_092435.jpg
M,1,0.93015,"{'x1': 95.12488, 'y1': 0.0, 'x2': 704.93286, 'y2': 596.80225}",E:\00learning\00test\验证图片\2183_20250517_210248.jpg
C,0,0.92099,"{'x1': 49.9176, 'y1': 0.0, 'x2': 681.52209, 'y2': 584.95312}",E:\00learning\00test\验证图片\2306_20250517_102047.jpg
M,1,0.7825,"{'x1': 35.92474, 'y1': 0.0, 'x2': 685.11145, 'y2': 596.45593}",E:\00learning\00test\验证图片\2306_20250517_191208.jpg
S,2,0.91092,"{'x1': 91.43677, 'y1': 0.0, 'x2': 728.11011, 'y2': 598.29614}",E:\00learning\00test\验证图片\2317_20250516_223957.jpg
C,0,0.75583,"{'x1': 66.29077, 'y1': 0.0, 'x2': 691.94592, 'y2': 588.90607}",E:\00learning\00test\验证图片\2318_20250517_132225.jpg
M,1,0.93016,"{'x1': 92.92957, 'y1': 0.0, 'x2': 711.07861, 'y2': 600.73895}",E:\00learning\00test\验证图片\2331_20250516_195126.jpg
M,1,0.93909,"{'x1': 96.37927, 'y1': 0.0, 'x2': 713.4281, 'y2': 600.3418}",E:\00learning\00test\验证图片\2331_20250517_050245.jpg
C,0,0.86077,"{'x1': 103.86963, 'y1': 0.0, 'x2': 714.24597, 'y2': 596.87732}",E:\00learning\00test\验证图片\2339_20250517_210430.jpg
S,2,0.90168,"{'x1': 90.51569, 'y1': 0.0, 'x2': 703.82074, 'y2': 598.5238}",E:\00learning\00test\验证图片\2342_20250516_213541.jpg
M,1,0.93668,"{'x1': 93.27478, 'y1': 0.0, 'x2': 717.4812, 'y2': 599.22778}",E:\00learning\00test\验证图片\2363_20250517_005859.jpg
M,1,0.92425,"{'x1': 101.9248, 'y1': 0.0, 'x2': 703.0426, 'y2': 601.65686}",E:\00learning\00test\验证图片\2368_20250517_204148.jpg
M,1,0.93085,"{'x1': 88.61365, 'y1': 0.0, 'x2': 715.01587, 'y2': 599.45837}",E:\00learning\00test\验证图片\2383_20250516_213929.jpg
M,1,0.87043,"{'x1': 90.29742, 'y1': 0.0, 'x2': 713.45154, 'y2': 598.09747}",E:\00learning\00test\验证图片\2393_20250516_224437.jpg
M,1,0.91469,"{'x1': 96.10559, 'y1': 0.0, 'x2': 700.7854, 'y2': 594.43109}",E:\00learning\00test\验证图片\2393_20250517_135409.jpg
C,0,0.92774,"{'x1': 102.80646, 'y1': 0.0, 'x2': 715.11652, 'y2': 592.31757}",E:\00learning\00test\验证图片\2395_20250517_192223.jpg
